               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 102,           0.0080144,           0.0037515,            0.029522,             0.52221,             0.77342,             0.61566,             0.60618,           0.0034105,           0.0015702,            0.018775,           0.0050005,           0.0050005,           0.0050005
                 103,           0.0079695,           0.0037177,              0.0293,             0.52386,             0.77092,             0.61587,             0.60635,           0.0034108,             0.00157,             0.01877,            0.004951,            0.004951,            0.004951
                 104,           0.0079393,           0.0037016,              0.0293,             0.52386,             0.77073,             0.61613,             0.60671,           0.0034106,             0.00157,            0.018764,           0.0049015,           0.0049015,           0.0049015
                 105,           0.0079549,           0.0037131,            0.029214,              0.5229,             0.77347,             0.61631,             0.60693,           0.0034101,           0.0015702,             0.01876,            0.004852,            0.004852,            0.004852
                 106,           0.0079016,           0.0036959,            0.029526,             0.51951,             0.77831,             0.61653,             0.60713,            0.003411,           0.0015704,            0.018756,           0.0048025,           0.0048025,           0.0048025
                 107,           0.0079277,            0.003724,            0.029326,             0.51897,             0.77976,             0.61643,             0.60712,           0.0034108,           0.0015695,            0.018753,            0.004753,            0.004753,            0.004753
                 108,           0.0079232,           0.0037136,            0.029295,             0.52064,             0.77861,              0.6166,             0.60735,            0.003411,           0.0015686,            0.018747,           0.0047035,           0.0047035,           0.0047035
                 109,           0.0078847,           0.0036918,            0.029183,             0.52082,             0.77894,             0.61673,             0.60749,           0.0034109,           0.0015686,            0.018741,            0.004654,            0.004654,            0.004654
                 110,           0.0079239,           0.0036836,            0.029219,             0.51982,             0.78081,             0.61703,             0.60768,           0.0034103,           0.0015678,            0.018737,           0.0046045,           0.0046045,           0.0046045
                 111,           0.0079026,           0.0036925,            0.029191,             0.51975,             0.78166,              0.6172,             0.60783,           0.0034101,           0.0015674,            0.018735,            0.004555,            0.004555,            0.004555
                 112,           0.0078965,           0.0036914,            0.029262,             0.51872,             0.78343,             0.61762,             0.60825,           0.0034102,            0.001567,            0.018732,           0.0045055,           0.0045055,           0.0045055
                 113,             0.00785,           0.0036907,            0.029249,             0.52127,             0.77976,             0.61766,             0.60828,           0.0034105,           0.0015671,            0.018729,            0.004456,            0.004456,            0.004456
                 114,           0.0078428,           0.0036588,             0.02922,              0.5202,              0.7824,             0.61791,             0.60862,           0.0034112,           0.0015669,            0.018725,           0.0044065,           0.0044065,           0.0044065
                 115,           0.0078556,           0.0036904,            0.029165,             0.52133,             0.78135,             0.61815,             0.60882,           0.0034119,           0.0015666,            0.018717,            0.004357,            0.004357,            0.004357
